Language,World,Africa,Americas,Asia,Europe,Oceania,Countries
English,59,24,16,4,3,12,"United States, India, Pakistan, Nigeria, Philippines, United Kingdom. (See the full list)"
French,29,21,2,,5,1,"France, DRC, Canada, Madagascar. (See the full list)"
Arabic,26,13,,13,,,"Egypt, Sudan, Algeria, Iraq, Morocco, Saudi Arabia. (See the full list)"
Spanish,21,1,19,,1,,"Mexico, Spain, Colombia, Argentina. (See the full list)"
Portuguese,10,6,1,1,1,1,"Brazil, Portugal, Mozambique, Angola. (See the full list)"
German,6,,,,6,,"Germany, Austria, Switzerland. (See the full list)"
Serbo-Croatian,5,,,,5,,"Serbia, Croatia, Bosnia and Herzegovina, Montenegro, Kosovo[a]"
Italian,4,,,,4,,"Italy, Switzerland, San Marino, Vatican City"
Malay,4,,,4,,,"Indonesia (known as Indonesian), Malaysia, Singapore, Brunei"
Russian,4,,,2,2,,"Russia, Kazakhstan, Belarus, Kyrgyzstan"
Swahili,5,5,,,,,"Tanzania, Kenya, Uganda, DRC, Rwanda"
Mandarin,3,,,3,,,"China, Singapore, Taiwan[a]"
Dutch,3,,1,,2,,"Netherlands, Belgium, Suriname"
Persian,3,,,3,,,"Iran, Afghanistan (known as Dari), Tajikistan (known as Tajik)"
Tamil,3,,,3,,,"Sri Lanka, Singapore, India"
Quechua,3,,3,,,,"Peru, Bolivia, Ecuador"